Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1555.0,1555.0,1490.0,1495.0,835.6322021484375,76612000
2020-01-03,1460.0,1470.0,1425.0,1465.0,856.3723754882812,117795600
2020-01-06,1455.0,1515.0,1450.0,1465.0,856.3723754882812,61423200
2020-01-07,1480.0,1540.0,1460.0,1540.0,900.2138671875,74336500
2020-01-08,1530.0,1535.0,1505.0,1505.0,879.75439453125,55121100
2020-01-09,1520.0,1525.0,1475.0,1495.0,873.908935546875,41270800
2020-01-10,1520.0,1565.0,1515.0,1550.0,906.0593872070312,97200800
2020-01-13,1585.0,1595.0,1555.0,1565.0,914.8278198242188,79898600
2020-01-14,1580.0,1585.0,1535.0,1560.0,911.9049682617188,68815800
2020-01-15,1555.0,1555.0,1475.0,1475.0,862.2177734375,79941500
2020-01-16,1480.0,1505.0,1455.0,1470.0,859.2949829101562,47679400
2020-01-17,1470.0,1485.0,1460.0,1480.0,865.1406860351562,20952100
2020-01-20,1485.0,1490.0,1430.0,1435.0,838.8355712890625,23993600
2020-01-21,1425.0,1455.0,1400.0,1415.0,827.1445922851562,38058600
2020-01-22,1415.0,1420.0,1360.0,1365.0,797.916748046875,63630500
2020-01-23,1350.0,1390.0,1320.0,1380.0,806.6851196289062,66076300
2020-01-24,1390.0,1395.0,1370.0,1380.0,806.6851196289062,14852500
2020-01-27,1370.0,1370.0,1290.0,1295.0,756.998046875,42333400
2020-01-28,1280.0,1345.0,1260.0,1325.0,774.53466796875,77945500
2020-01-29,1330.0,1345.0,1300.0,1305.0,762.8435668945312,27119800
2020-01-30,1305.0,1325.0,1280.0,1295.0,756.998046875,24536100
2020-01-31,1305.0,1305.0,1225.0,1225.0,716.0792236328125,79503700
2020-02-03,1200.0,1245.0,1180.0,1225.0,716.0792236328125,66293300
2020-02-04,1260.0,1285.0,1235.0,1270.0,742.3841552734375,65979400
2020-02-05,1295.0,1345.0,1295.0,1315.0,768.6890258789062,60602000
2020-02-06,1350.0,1350.0,1280.0,1305.0,762.8435668945312,37379900
2020-02-07,1285.0,1315.0,1285.0,1305.0,762.8435668945312,15026100
2020-02-10,1290.0,1295.0,1265.0,1280.0,748.2296752929688,19636900
2020-02-11,1295.0,1315.0,1275.0,1315.0,768.6890258789062,32034700
2020-02-12,1325.0,1335.0,1315.0,1330.0,777.4573974609375,40092100
2020-02-13,1335.0,1355.0,1295.0,1350.0,789.1484375,62528100
2020-02-14,1350.0,1360.0,1310.0,1320.0,771.6117553710938,29880000
2020-02-17,1325.0,1330.0,1305.0,1320.0,771.6117553710938,12413400
2020-02-18,1320.0,1350.0,1315.0,1330.0,777.4573974609375,28647600
2020-02-19,1335.0,1345.0,1290.0,1305.0,762.8435668945312,49522500
2020-02-20,1315.0,1360.0,1310.0,1350.0,789.1484375,45664600
2020-02-21,1350.0,1355.0,1310.0,1310.0,765.7662963867188,33041400
2020-02-24,1285.0,1310.0,1270.0,1285.0,751.1524658203125,37626300
2020-02-25,1270.0,1300.0,1260.0,1285.0,751.1524658203125,31970000
2020-02-26,1275.0,1295.0,1250.0,1250.0,730.6930541992188,38644500
2020-02-27,1250.0,1275.0,1155.0,1165.0,681.005859375,62491000
2020-02-28,1130.0,1160.0,1085.0,1155.0,675.160400390625,63533800
2020-03-02,1175.0,1195.0,1100.0,1115.0,651.7781982421875,41125400
2020-03-03,1140.0,1180.0,1125.0,1140.0,666.39208984375,90994700
2020-03-04,1125.0,1215.0,1110.0,1205.0,704.3881225585938,85031200
2020-03-05,1220.0,1225.0,1155.0,1175.0,686.8515625,63958800
2020-03-06,1140.0,1180.0,1140.0,1160.0,678.0831298828125,33637700
2020-03-09,1060.0,1085.0,1000.0,1010.0,590.3999633789062,85414300
2020-03-10,1020.0,1060.0,1010.0,1030.0,602.091064453125,47800300
2020-03-11,1030.0,1035.0,930.0,965.0,564.0950317382812,70759400
2020-03-12,900.0,930.0,820.0,830.0,485.18011474609375,75896100
2020-03-13,790.0,860.0,775.0,830.0,485.18011474609375,90075800
2020-03-16,830.0,830.0,830.0,830.0,485.18011474609375,0
2020-03-17,760.0,760.0,725.0,725.0,423.802001953125,47571500
2020-03-18,725.0,760.0,675.0,690.0,403.3425598144531,85489000
2020-03-19,670.0,670.0,645.0,645.0,377.03759765625,57290600
2020-03-20,645.0,800.0,610.0,745.0,435.4930725097656,139182200
2020-03-23,725.0,835.0,695.0,775.0,453.0296936035156,111577400
2020-03-24,810.0,900.0,780.0,850.0,496.8712463378906,82445200
2020-03-26,885.0,1010.0,870.0,965.0,564.0950317382812,120540900
2020-03-27,990.0,1050.0,920.0,990.0,578.7089233398438,76999800
2020-03-30,970.0,970.0,925.0,925.0,540.7129516601562,28451400
2020-03-31,925.0,1020.0,925.0,990.0,578.7089233398438,83005000
2020-04-01,995.0,1030.0,940.0,1020.0,596.2455444335938,56063700
2020-04-02,980.0,1055.0,970.0,1040.0,607.9365844726562,29924200
2020-04-03,1055.0,1100.0,1040.0,1100.0,643.0098876953125,43071600
2020-04-06,1110.0,1150.0,1080.0,1150.0,672.2376098632812,41495700
2020-04-07,1190.0,1200.0,1075.0,1140.0,666.39208984375,52492500
2020-04-08,1150.0,1150.0,1065.0,1065.0,622.5504150390625,44442400
2020-04-09,1015.0,1080.0,1000.0,1040.0,607.9365844726562,31567000
2020-04-13,1050.0,1075.0,1020.0,1040.0,607.9365844726562,13653600
2020-04-14,1040.0,1080.0,1040.0,1080.0,631.3187866210938,24122100
2020-04-15,1080.0,1100.0,1010.0,1045.0,610.8594360351562,29124400
2020-04-16,1035.0,1035.0,975.0,975.0,569.9406127929688,33908100
2020-04-17,1000.0,1050.0,990.0,1035.0,605.0137939453125,36048300
2020-04-20,1030.0,1045.0,980.0,985.0,575.7861328125,31892700
2020-04-21,970.0,970.0,920.0,930.0,543.6356201171875,45011700
2020-04-22,930.0,930.0,870.0,885.0,517.3306884765625,64670900
2020-04-23,900.0,925.0,895.0,905.0,529.0217895507812,50027600
2020-04-24,910.0,985.0,870.0,875.0,511.4850769042969,98736600
2020-04-27,900.0,945.0,885.0,900.0,526.0990600585938,97943800
2020-04-28,910.0,915.0,875.0,890.0,520.25341796875,47890200
2020-04-29,895.0,905.0,880.0,885.0,517.3306884765625,43090800
2020-04-30,895.0,920.0,890.0,920.0,537.7901000976562,82626500
2020-05-04,920.0,920.0,870.0,890.0,520.25341796875,68085900
